,concept1,concept2,pred,concept1_freq,concept2_freq,concept1_top1_field,concept1_top1_ratio,concept1_top2_field,concept1_top2_ratio,concept2_top1_field,concept2_top1_ratio,concept2_top2_field,concept2_top2_ratio,community1_id,community2_id,c1_community,c2_community
4745,demand modeling and analysis,frontline employee behavior and management,0.599,74,19,operations,0.405,marketing,0.27,service,0.684,marketing,0.316,4,2,Platform Economics & Market Design,Organizational Behavior & HRM
4746,branches of philosophy,technology adoption in service industries,0.599,70,11,ethics,0.443,marketing,0.2,service,0.545,management,0.182,3,14,Institutional & Social Studies,Service Operations & Design
4747,reputation management and online reputation systems,service encounter interaction and process,0.599,51,23,management,0.235,information_systems,0.176,service,0.609,marketing,0.13,16,14,Communication & Reputation Management,Service Operations & Design
4748,fundamental queueing theory and models,new service development,0.599,420,22,operations,0.743,management,0.25,service,0.455,operations,0.318,0,14,Operations Research & Queueing Theory,Service Operations & Design
4749,network science and theory,social work and symbolic interaction,0.599,73,14,management,0.329,marketing,0.192,service,0.357,human_resources,0.214,3,3,Institutional & Social Studies,Institutional & Social Studies
4750,frontline employee behavior and management,mobile computing and ubiquitous services,0.599,19,14,service,0.684,marketing,0.316,marketing,0.571,information_systems,0.357,2,12,Organizational Behavior & HRM,IT & Digital Platform Management
4751,transformative service research,digital media and communication studies,0.599,17,32,service,0.941,marketing,0.059,marketing,0.438,ethics,0.125,3,16,Institutional & Social Studies,Communication & Reputation Management
4752,human-robot interaction,online marketplaces and platforms,0.599,26,27,service,0.654,marketing,0.154,information_systems,0.333,management,0.259,17,4,AI & Human-Computer Interaction,Platform Economics & Market Design
4753,omnichannel retailing and marketing,justice perceptions and theories in service contexts,0.599,18,13,operations,0.444,information_systems,0.167,service,0.615,ethics,0.154,15,7,Retailing & Customer Experience,Marketing & Customer Relationship Management
4754,service quality concepts and dimensions,discourse analysis and theories,0.599,29,28,service,0.448,operations,0.31,organization,0.286,management,0.25,14,3,Service Operations & Design,Institutional & Social Studies
4755,interdisciplinary and multidisciplinary research approaches and collaboration,social media influence and impact studies,0.599,37,39,service,0.297,management,0.216,marketing,0.282,ethics,0.205,3,16,Institutional & Social Studies,Communication & Reputation Management
4756,cross-cultural studies and comparative analysis,new service development,0.599,125,22,marketing,0.24,ethics,0.176,service,0.455,operations,0.318,1,14,Consumer Psychology & Decision Making,Service Operations & Design
4757,stakeholder theory and research,employee satisfaction and related attitudes,0.599,68,22,ethics,0.397,management,0.265,service,0.364,marketing,0.227,11,2,Sustainability & CSR,Organizational Behavior & HRM
4758,bibliometrics and scientometrics,service experience evaluation and management,0.599,38,15,marketing,0.184,accounting,0.158,service,0.667,operations,0.267,10,14,Healthcare Management & Policy,Service Operations & Design
4759,customer behavior,appropriability mechanisms and strategies,0.599,112,14,service,0.321,operations,0.25,economics,0.286,finance,0.214,19,5,Customer Behavior,Innovation & Technology Management
4760,professional and general service design,workplace diversity and inclusion,0.599,38,17,service,0.579,operations,0.368,management,0.471,organization,0.176,14,2,Service Operations & Design,Organizational Behavior & HRM
4761,emotional expression and engagement in service interactions,employee behavior in service contexts,0.599,13,12,service,0.615,marketing,0.231,marketing,0.333,organization,0.25,1,2,Consumer Psychology & Decision Making,Organizational Behavior & HRM
4762,ai applications in service delivery and systems,service innovation management and implementation,0.599,10,10,service,0.8,marketing,0.2,marketing,0.4,service,0.4,17,5,AI & Human-Computer Interaction,Innovation & Technology Management
4763,statistical analysis and methods,ai applications in service delivery and systems,0.599,47,10,marketing,0.319,operations,0.234,service,0.8,marketing,0.2,9,17,Data Science & Machine Learning,AI & Human-Computer Interaction
4764,systems theory and engineering,service outcome evaluation and performance,0.598,33,22,operations,0.333,management,0.242,service,0.364,marketing,0.227,0,2,Operations Research & Queueing Theory,Organizational Behavior & HRM
4765,service marketing and management,social welfare and revenue optimization,0.598,397,23,service,0.557,marketing,0.332,operations,0.522,management,0.304,7,0,Marketing & Customer Relationship Management,Operations Research & Queueing Theory
4766,principal-agent theory and models,ai applications in service delivery and systems,0.598,29,10,management,0.241,operations,0.241,service,0.8,marketing,0.2,4,17,Platform Economics & Market Design,AI & Human-Computer Interaction
4767,interdisciplinary and multidisciplinary research approaches and collaboration,opinion mining and sentiment analysis,0.598,37,19,service,0.297,management,0.216,marketing,0.579,management,0.211,3,9,Institutional & Social Studies,Data Science & Machine Learning
4768,industrial marketing and purchasing,ai applications in service delivery and systems,0.598,36,10,marketing,0.611,service,0.167,service,0.8,marketing,0.2,7,17,Marketing & Customer Relationship Management,AI & Human-Computer Interaction
4769,service marketing and management,queueing theory and models in healthcare operations,0.598,397,14,service,0.557,marketing,0.332,operations,0.714,management,0.286,7,10,Marketing & Customer Relationship Management,Healthcare Management & Policy
4770,financial performance analysis and measurement,ai applications in service delivery and systems,0.598,89,10,marketing,0.404,management,0.169,service,0.8,marketing,0.2,6,17,"Finance, Governance & Regulation",AI & Human-Computer Interaction
4771,service ecosystems theory and research,international relations,0.598,15,13,service,0.733,marketing,0.2,ethics,0.308,management,0.231,3,3,Institutional & Social Studies,Institutional & Social Studies
4772,diffusion of innovation theory and research,service experience evaluation and management,0.598,73,15,marketing,0.356,economics,0.205,service,0.667,operations,0.267,5,14,Innovation & Technology Management,Service Operations & Design
4773,personality research and psychology,service industry analysis and characteristics,0.598,84,21,organization,0.44,marketing,0.262,service,0.19,economics,0.143,2,11,Organizational Behavior & HRM,Sustainability & CSR
4774,social work and symbolic interaction,justice perceptions and theories in service contexts,0.598,14,13,service,0.357,human_resources,0.214,service,0.615,ethics,0.154,3,7,Institutional & Social Studies,Marketing & Customer Relationship Management
4775,organizational climate and culture,"servicescapes and their design, management, and theory",0.598,55,14,organization,0.327,management,0.218,service,0.714,marketing,0.143,2,7,Organizational Behavior & HRM,Marketing & Customer Relationship Management
4776,service innovation,call center management and operations,0.598,75,36,service,0.373,economics,0.213,operations,0.75,management,0.167,5,0,Innovation & Technology Management,Operations Research & Queueing Theory
4777,artificial intelligence and machine learning,digital media and communication studies,0.598,100,32,service,0.26,marketing,0.24,marketing,0.438,ethics,0.125,17,16,AI & Human-Computer Interaction,Communication & Reputation Management
4778,value creation and co-creation in service contexts,service market competition,0.598,17,12,service,0.588,marketing,0.294,operations,0.75,management,0.167,3,4,Institutional & Social Studies,Platform Economics & Market Design
4779,human-robot interaction,ownership structure and control,0.598,26,11,service,0.654,marketing,0.154,management,0.364,organization,0.273,17,6,AI & Human-Computer Interaction,"Finance, Governance & Regulation"
4780,signaling theory and applications,service industry analysis and characteristics,0.598,41,21,marketing,0.366,operations,0.244,service,0.19,economics,0.143,4,11,Platform Economics & Market Design,Sustainability & CSR
4781,attribution theory and its applications,ai applications in service delivery and systems,0.598,52,10,marketing,0.519,service,0.154,service,0.8,marketing,0.2,1,17,Consumer Psychology & Decision Making,AI & Human-Computer Interaction
4782,emotional expression and engagement in service interactions,educational technology,0.598,13,17,service,0.615,marketing,0.231,information_systems,0.294,marketing,0.294,1,3,Consumer Psychology & Decision Making,Institutional & Social Studies
4783,general causal inference methods and frameworks,service ecosystems theory and research,0.598,38,15,operations,0.342,management,0.263,service,0.733,marketing,0.2,9,3,Data Science & Machine Learning,Institutional & Social Studies
4784,robotics and automation engineering,customer heterogeneity and behavior modeling,0.598,17,21,service,0.412,economics,0.176,marketing,0.381,management,0.333,5,14,Innovation & Technology Management,Service Operations & Design
4785,transformative service research,professional studies and practice,0.598,17,12,service,0.941,marketing,0.059,management,0.417,organization,0.417,3,3,Institutional & Social Studies,Institutional & Social Studies
4786,information asymmetry and communication dynamics,value cocreation in service contexts,0.598,51,20,marketing,0.196,management,0.157,service,0.75,information_systems,0.1,6,18,"Finance, Governance & Regulation",Service-Dominant Logic & Value Co-creation
4787,international business and management,justice perceptions and theories in service contexts,0.598,253,13,international_business,0.225,ethics,0.206,service,0.615,ethics,0.154,15,7,Retailing & Customer Experience,Marketing & Customer Relationship Management
4788,urban and regional economics and studies,service encounter interaction and process,0.598,53,23,economics,0.358,operations,0.208,service,0.609,marketing,0.13,5,14,Innovation & Technology Management,Service Operations & Design
4789,human-robot interaction,regulatory science and analysis,0.598,26,17,service,0.654,marketing,0.154,accounting,0.294,ethics,0.176,17,6,AI & Human-Computer Interaction,"Finance, Governance & Regulation"
4790,customer behavior,venture capital and financing,0.598,112,20,service,0.321,operations,0.25,economics,0.2,entrepreneurship,0.2,19,6,Customer Behavior,"Finance, Governance & Regulation"
4791,emotional labor concepts and research,value creation and co-creation in service contexts,0.598,49,17,organization,0.51,management,0.306,service,0.588,marketing,0.294,2,3,Organizational Behavior & HRM,Institutional & Social Studies
4792,transformative service research,economics and sociology of education,0.598,17,11,service,0.941,marketing,0.059,economics,0.727,human_resources,0.091,3,3,Institutional & Social Studies,Institutional & Social Studies
4793,cultural theory and analysis,new service development,0.598,142,22,marketing,0.394,ethics,0.169,service,0.455,operations,0.318,3,14,Institutional & Social Studies,Service Operations & Design
4794,customer experience management and design,resource allocation optimization and efficiency,0.598,91,13,service,0.462,marketing,0.308,operations,0.769,management,0.154,15,0,Retailing & Customer Experience,Operations Research & Queueing Theory
4795,team performance and effectiveness,frontline employee behavior and management,0.598,46,19,organization,0.522,management,0.261,service,0.684,marketing,0.316,8,2,Strategic Management & Performance,Organizational Behavior & HRM
4796,performance measurement and metrics,ai applications in service delivery and systems,0.598,83,10,operations,0.337,management,0.169,service,0.8,marketing,0.2,8,17,Strategic Management & Performance,AI & Human-Computer Interaction
4797,employee satisfaction and related attitudes,sensemaking in organizations and institutions,0.598,22,28,service,0.364,marketing,0.227,management,0.5,human_resources,0.143,2,2,Organizational Behavior & HRM,Organizational Behavior & HRM
4798,service industry analysis and characteristics,critical management theory and studies,0.598,21,13,service,0.19,economics,0.143,organization,0.385,management,0.308,11,3,Sustainability & CSR,Institutional & Social Studies
4799,service industry analysis and characteristics,job attitudes and work behaviors,0.598,21,20,service,0.19,economics,0.143,organization,0.45,management,0.15,11,2,Sustainability & CSR,Organizational Behavior & HRM
4800,accounting and financial reporting,service research and methodologies,0.598,123,51,accounting,0.585,ethics,0.187,service,0.882,marketing,0.078,6,3,"Finance, Governance & Regulation",Institutional & Social Studies
4801,industrial and organizational psychology,service ecosystems theory and research,0.598,325,15,organization,0.4,management,0.243,service,0.733,marketing,0.2,2,3,Organizational Behavior & HRM,Institutional & Social Studies
4802,service quality measurement and evaluation,social enterprise and its management,0.598,39,14,service,0.41,marketing,0.205,management,0.286,ethics,0.214,14,3,Service Operations & Design,Institutional & Social Studies
4803,service capacity and demand management,ai applications in service delivery and systems,0.598,12,10,operations,0.75,management,0.083,service,0.8,marketing,0.2,14,17,Service Operations & Design,AI & Human-Computer Interaction
4804,media studies and audience research,transformative service research,0.598,76,17,marketing,0.421,information_systems,0.158,service,0.941,marketing,0.059,16,3,Communication & Reputation Management,Institutional & Social Studies
4805,professional identity and role dynamics,human-robot interaction,0.598,30,26,management,0.367,human_resources,0.333,service,0.654,marketing,0.154,3,17,Institutional & Social Studies,AI & Human-Computer Interaction
4806,emotional labor concepts and research,robotics and automation engineering,0.598,49,17,organization,0.51,management,0.306,service,0.412,economics,0.176,2,5,Organizational Behavior & HRM,Innovation & Technology Management
4807,transformative service research,organizational identification and related processes,0.598,17,37,service,0.941,marketing,0.059,management,0.27,organization,0.162,3,2,Institutional & Social Studies,Organizational Behavior & HRM
4808,psychometrics and psychometric assessment,emotional expression and engagement in service interactions,0.598,63,13,marketing,0.397,organization,0.254,service,0.615,marketing,0.231,1,1,Consumer Psychology & Decision Making,Consumer Psychology & Decision Making
4809,human-robot interaction,organizational citizenship behavior (ocb) concepts and research,0.598,26,53,service,0.654,marketing,0.154,organization,0.453,management,0.283,17,2,AI & Human-Computer Interaction,Organizational Behavior & HRM
4810,service innovation,chronic disease management,0.598,75,13,service,0.373,economics,0.213,operations,0.462,service,0.231,5,10,Innovation & Technology Management,Healthcare Management & Policy
4811,signaling theory and applications,social work and symbolic interaction,0.598,41,14,marketing,0.366,operations,0.244,service,0.357,human_resources,0.214,4,3,Platform Economics & Market Design,Institutional & Social Studies
4812,"customer attitudes, perceptions, and behavioral intentions",linguistics and language studies,0.598,49,45,service,0.367,marketing,0.347,marketing,0.533,management,0.133,7,9,Marketing & Customer Relationship Management,Data Science & Machine Learning
4813,qualitative research methods and approaches,justice perceptions and theories in service contexts,0.598,60,13,marketing,0.25,management,0.183,service,0.615,ethics,0.154,3,7,Institutional & Social Studies,Marketing & Customer Relationship Management
4814,job demands-resources theory and model,emotional expression and engagement in service interactions,0.598,21,13,marketing,0.238,organization,0.238,service,0.615,marketing,0.231,2,1,Organizational Behavior & HRM,Consumer Psychology & Decision Making
4815,transformative service research,organizational adaptation and evolution,0.598,17,25,service,0.941,marketing,0.059,management,0.52,organization,0.24,3,2,Institutional & Social Studies,Organizational Behavior & HRM
4816,cultural theory and analysis,service ecosystems theory and research,0.598,142,15,marketing,0.394,ethics,0.169,service,0.733,marketing,0.2,3,3,Institutional & Social Studies,Institutional & Social Studies
4817,service outcome evaluation and performance,self-efficacy and its applications,0.598,22,31,service,0.364,marketing,0.227,organization,0.355,marketing,0.226,2,1,Organizational Behavior & HRM,Consumer Psychology & Decision Making
4818,service quality measurement and evaluation,professional identity and role dynamics,0.598,39,30,service,0.41,marketing,0.205,management,0.367,human_resources,0.333,14,3,Service Operations & Design,Institutional & Social Studies
4819,professional and general service design,distributionally robust optimization,0.598,38,17,service,0.579,operations,0.368,operations,0.941,management,0.059,14,0,Service Operations & Design,Operations Research & Queueing Theory
4820,retail industry and business studies,service encounter evaluation and quality,0.598,129,12,marketing,0.473,operations,0.31,service,0.75,marketing,0.25,15,1,Retailing & Customer Experience,Consumer Psychology & Decision Making
4821,channel migration and usage,"servicescapes and their design, management, and theory",0.598,53,14,marketing,0.604,management,0.151,service,0.714,marketing,0.143,7,7,Marketing & Customer Relationship Management,Marketing & Customer Relationship Management
4822,crisis and emergency management strategies,service encounter evaluation and quality,0.598,48,12,management,0.333,marketing,0.208,service,0.75,marketing,0.25,16,1,Communication & Reputation Management,Consumer Psychology & Decision Making
4823,"audit process, practices, and standards",emotional expression and engagement in service interactions,0.598,126,13,accounting,0.754,ethics,0.175,service,0.615,marketing,0.231,6,1,"Finance, Governance & Regulation",Consumer Psychology & Decision Making
4824,nonprofit management and organizational operations,human-robot interaction,0.598,47,26,marketing,0.277,operations,0.213,service,0.654,marketing,0.154,11,17,Sustainability & CSR,AI & Human-Computer Interaction
4825,workforce management,social work and symbolic interaction,0.598,35,14,operations,0.743,management,0.2,service,0.357,human_resources,0.214,0,3,Operations Research & Queueing Theory,Institutional & Social Studies
4826,service research and methodologies,employment dynamics and structures,0.598,51,11,service,0.882,marketing,0.078,management,0.273,accounting,0.182,3,4,Institutional & Social Studies,Platform Economics & Market Design
4827,service outcome evaluation and performance,new venture creation and development,0.598,22,28,service,0.364,marketing,0.227,management,0.429,entrepreneurship,0.393,2,5,Organizational Behavior & HRM,Innovation & Technology Management
4828,sustainability economics and management,service encounter evaluation and quality,0.598,23,12,ethics,0.348,operations,0.348,service,0.75,marketing,0.25,11,1,Sustainability & CSR,Consumer Psychology & Decision Making
4829,self-service technology usage and management,"servicescapes and their design, management, and theory",0.598,21,14,marketing,0.333,service,0.333,service,0.714,marketing,0.143,12,7,IT & Digital Platform Management,Marketing & Customer Relationship Management
4830,customer behavior,human capital management and performance,0.598,112,26,service,0.321,operations,0.25,management,0.577,human_resources,0.154,19,8,Customer Behavior,Strategic Management & Performance
4831,accounting research and methodology,value creation and co-creation in service contexts,0.598,205,17,accounting,0.624,ethics,0.171,service,0.588,marketing,0.294,6,3,"Finance, Governance & Regulation",Institutional & Social Studies
4832,customer-employee and service provider interactions,cloud computing and resource management,0.598,70,37,service,0.3,organization,0.243,information_systems,0.541,operations,0.351,2,0,Organizational Behavior & HRM,Operations Research & Queueing Theory
4833,customer experience management and design,risk and security studies,0.598,91,14,service,0.462,marketing,0.308,information_systems,0.357,ethics,0.214,15,12,Retailing & Customer Experience,IT & Digital Platform Management
4834,service research and methodologies,multinational corporation and enterprise management,0.598,51,19,service,0.882,marketing,0.078,ethics,0.368,human_resources,0.211,3,15,Institutional & Social Studies,Retailing & Customer Experience
4835,stakeholder theory and research,justice perceptions and theories in service contexts,0.598,68,13,ethics,0.397,management,0.265,service,0.615,ethics,0.154,11,7,Sustainability & CSR,Marketing & Customer Relationship Management
4836,professional and general service design,production planning and scheduling,0.598,38,23,service,0.579,operations,0.368,operations,0.826,management,0.174,14,0,Service Operations & Design,Operations Research & Queueing Theory
4837,workforce management,transformative service research,0.598,35,17,operations,0.743,management,0.2,service,0.941,marketing,0.059,0,3,Operations Research & Queueing Theory,Institutional & Social Studies
4838,customer-employee and service provider interactions,entrepreneurship and innovation,0.598,70,19,service,0.3,organization,0.243,entrepreneurship,0.368,management,0.316,2,5,Organizational Behavior & HRM,Innovation & Technology Management
4839,service innovation,job attitudes and work behaviors,0.598,75,20,service,0.373,economics,0.213,organization,0.45,management,0.15,5,2,Innovation & Technology Management,Organizational Behavior & HRM
4840,corporate social responsibility concepts and strategies,employee satisfaction and related attitudes,0.598,183,22,ethics,0.623,marketing,0.142,service,0.364,marketing,0.227,11,2,Sustainability & CSR,Organizational Behavior & HRM
4841,diffusion of innovation theory and research,emotional and cognitive responses to service failures,0.598,73,10,marketing,0.356,economics,0.205,service,0.5,marketing,0.3,5,1,Innovation & Technology Management,Consumer Psychology & Decision Making
4842,service marketing and management,productivity measurement and analysis,0.598,397,34,service,0.557,marketing,0.332,economics,0.294,management,0.235,7,4,Marketing & Customer Relationship Management,Platform Economics & Market Design
4843,value creation and co-creation in service contexts,measurement theory and psychometric evaluation,0.598,17,34,service,0.588,marketing,0.294,marketing,0.324,service,0.206,3,3,Institutional & Social Studies,Institutional & Social Studies
4844,service industry analysis and characteristics,natural language processing,0.598,21,43,service,0.19,economics,0.143,marketing,0.488,management,0.186,11,9,Sustainability & CSR,Data Science & Machine Learning
4845,interdisciplinary and multidisciplinary research approaches and collaboration,relationship management and commitment theories,0.598,37,32,service,0.297,management,0.216,marketing,0.688,service,0.094,3,7,Institutional & Social Studies,Marketing & Customer Relationship Management
4846,self-service technology usage and management,value cocreation in service contexts,0.598,21,20,marketing,0.333,service,0.333,service,0.75,information_systems,0.1,12,18,IT & Digital Platform Management,Service-Dominant Logic & Value Co-creation
4847,linguistics and language studies,service encounter evaluation and quality,0.598,45,12,marketing,0.533,management,0.133,service,0.75,marketing,0.25,9,1,Data Science & Machine Learning,Consumer Psychology & Decision Making
4848,sustainability economics and management,frontline employee behavior and management,0.597,23,19,ethics,0.348,operations,0.348,service,0.684,marketing,0.316,11,2,Sustainability & CSR,Organizational Behavior & HRM
4849,accounting research and methodology,justice perceptions and theories in service contexts,0.597,205,13,accounting,0.624,ethics,0.171,service,0.615,ethics,0.154,6,7,"Finance, Governance & Regulation",Marketing & Customer Relationship Management
4850,human-robot interaction,industrial marketing and purchasing,0.597,26,36,service,0.654,marketing,0.154,marketing,0.611,service,0.167,17,7,AI & Human-Computer Interaction,Marketing & Customer Relationship Management
4851,human-robot interaction,job demands-resources theory and model,0.597,26,21,service,0.654,marketing,0.154,marketing,0.238,organization,0.238,17,2,AI & Human-Computer Interaction,Organizational Behavior & HRM
4852,service encounter interaction and process,risk perception and related processes,0.597,23,21,service,0.609,marketing,0.13,marketing,0.714,service,0.095,14,1,Service Operations & Design,Consumer Psychology & Decision Making
4853,service profit chain model,service encounter evaluation and quality,0.597,14,12,marketing,0.286,operations,0.286,service,0.75,marketing,0.25,14,1,Service Operations & Design,Consumer Psychology & Decision Making
4854,performance management,emotional and cognitive responses to service failures,0.597,62,10,management,0.274,organization,0.194,service,0.5,marketing,0.3,8,1,Strategic Management & Performance,Consumer Psychology & Decision Making
4855,labour and employment studies,value cocreation in service contexts,0.597,48,20,human_resources,0.375,organization,0.208,service,0.75,information_systems,0.1,3,18,Institutional & Social Studies,Service-Dominant Logic & Value Co-creation
4856,human-robot interaction,social capital concepts and theories,0.597,26,41,service,0.654,marketing,0.154,management,0.317,organization,0.195,17,3,AI & Human-Computer Interaction,Institutional & Social Studies
4857,digital innovation and management,ai applications in service delivery and systems,0.597,15,10,information_systems,0.333,economics,0.267,service,0.8,marketing,0.2,5,17,Innovation & Technology Management,AI & Human-Computer Interaction
4858,social work and symbolic interaction,hrm practices and systems,0.597,14,21,service,0.357,human_resources,0.214,human_resources,0.619,management,0.19,3,2,Institutional & Social Studies,Organizational Behavior & HRM
4859,value creation concepts and processes,justice perceptions and theories in service contexts,0.597,40,13,marketing,0.35,management,0.325,service,0.615,ethics,0.154,8,7,Strategic Management & Performance,Marketing & Customer Relationship Management
4860,traditional and service advertising,service experience evaluation and management,0.597,72,15,marketing,0.708,service,0.097,service,0.667,operations,0.267,1,14,Consumer Psychology & Decision Making,Service Operations & Design
4861,workforce management,ai applications in service delivery and systems,0.597,35,10,operations,0.743,management,0.2,service,0.8,marketing,0.2,0,17,Operations Research & Queueing Theory,AI & Human-Computer Interaction
4862,value creation and co-creation in service contexts,service profit chain model,0.597,17,14,service,0.588,marketing,0.294,marketing,0.286,operations,0.286,3,14,Institutional & Social Studies,Service Operations & Design
4863,professional and general service design,switching costs and related concepts,0.597,38,15,service,0.579,operations,0.368,marketing,0.267,information_systems,0.2,14,7,Service Operations & Design,Marketing & Customer Relationship Management
4864,motivation theories and psychological mechanisms,service ecosystems theory and research,0.597,79,15,marketing,0.354,management,0.165,service,0.733,marketing,0.2,1,3,Consumer Psychology & Decision Making,Institutional & Social Studies
4865,firm-level innovation processes and behavior,frontline employee behavior and management,0.597,45,19,economics,0.422,finance,0.2,service,0.684,marketing,0.316,5,2,Innovation & Technology Management,Organizational Behavior & HRM
4866,international business and management,service quality concepts and dimensions,0.597,253,29,international_business,0.225,ethics,0.206,service,0.448,operations,0.31,15,14,Retailing & Customer Experience,Service Operations & Design
4867,industrial economics,value cocreation in service contexts,0.597,92,20,economics,0.304,finance,0.12,service,0.75,information_systems,0.1,5,18,Innovation & Technology Management,Service-Dominant Logic & Value Co-creation
4868,cross-cultural studies and comparative analysis,service ecosystems theory and research,0.597,125,15,marketing,0.24,ethics,0.176,service,0.733,marketing,0.2,1,3,Consumer Psychology & Decision Making,Institutional & Social Studies
4869,justice perceptions and theories in service contexts,product differentiation,0.597,13,23,service,0.615,ethics,0.154,marketing,0.478,management,0.304,7,4,Marketing & Customer Relationship Management,Platform Economics & Market Design
4870,financial risk management and assessment,emotional expression and engagement in service interactions,0.597,36,13,operations,0.306,marketing,0.194,service,0.615,marketing,0.231,6,1,"Finance, Governance & Regulation",Consumer Psychology & Decision Making
4871,epidemiology and its subfields,technology adoption in service industries,0.597,38,11,operations,0.395,economics,0.237,service,0.545,management,0.182,10,14,Healthcare Management & Policy,Service Operations & Design
4872,social work and symbolic interaction,social media influence and impact studies,0.597,14,39,service,0.357,human_resources,0.214,marketing,0.282,ethics,0.205,3,16,Institutional & Social Studies,Communication & Reputation Management
4873,professional and general service design,sociology of work and employment,0.597,38,18,service,0.579,operations,0.368,human_resources,0.444,organization,0.278,14,3,Service Operations & Design,Institutional & Social Studies
4874,human-robot interaction,entrepreneurship and innovation,0.597,26,19,service,0.654,marketing,0.154,entrepreneurship,0.368,management,0.316,17,5,AI & Human-Computer Interaction,Innovation & Technology Management
4875,geography and its subfields,"servicescapes and their design, management, and theory",0.597,102,14,economics,0.245,organization,0.157,service,0.714,marketing,0.143,5,7,Innovation & Technology Management,Marketing & Customer Relationship Management
4876,transformative service research,emotion and affect in organizational contexts,0.597,17,29,service,0.941,marketing,0.059,management,0.483,organization,0.276,3,2,Institutional & Social Studies,Organizational Behavior & HRM
4877,professional and general service design,call center management and operations,0.597,38,36,service,0.579,operations,0.368,operations,0.75,management,0.167,14,0,Service Operations & Design,Operations Research & Queueing Theory
4878,team dynamics and collaboration,service encounter interaction and process,0.597,94,23,management,0.383,organization,0.309,service,0.609,marketing,0.13,8,14,Strategic Management & Performance,Service Operations & Design
4879,knowledge management concepts and theories,service encounter interaction and process,0.597,202,23,management,0.292,organization,0.139,service,0.609,marketing,0.13,8,14,Strategic Management & Performance,Service Operations & Design
4880,firm-level innovation processes and behavior,service encounter interaction and process,0.597,45,23,economics,0.422,finance,0.2,service,0.609,marketing,0.13,5,14,Innovation & Technology Management,Service Operations & Design
4881,emotional and affective processes in consumer behavior,interdisciplinary and multidisciplinary research approaches and collaboration,0.597,82,37,marketing,0.646,service,0.268,service,0.297,management,0.216,1,3,Consumer Psychology & Decision Making,Institutional & Social Studies
4882,market equilibrium analysis,"servicescapes and their design, management, and theory",0.597,20,14,operations,0.4,management,0.25,service,0.714,marketing,0.143,4,7,Platform Economics & Market Design,Marketing & Customer Relationship Management
4883,management accounting and control,emotional expression and engagement in service interactions,0.597,24,13,accounting,0.583,ethics,0.083,service,0.615,marketing,0.231,6,1,"Finance, Governance & Regulation",Consumer Psychology & Decision Making
4884,network science and theory,service encounter interaction and process,0.597,73,23,management,0.329,marketing,0.192,service,0.609,marketing,0.13,3,14,Institutional & Social Studies,Service Operations & Design
4885,value cocreation in service contexts,stakeholder management and communication,0.597,20,45,service,0.75,information_systems,0.1,ethics,0.289,management,0.244,18,11,Service-Dominant Logic & Value Co-creation,Sustainability & CSR
4886,human-robot interaction,buyer-supplier relationships,0.597,26,28,service,0.654,marketing,0.154,marketing,0.321,operations,0.25,17,13,AI & Human-Computer Interaction,Supply Chain & Contract Management
4887,knowledge spillovers and transfer,ai applications in service delivery and systems,0.597,23,10,entrepreneurship,0.217,organization,0.217,service,0.8,marketing,0.2,5,17,Innovation & Technology Management,AI & Human-Computer Interaction
4888,service encounter interaction and process,educational technology,0.597,23,17,service,0.609,marketing,0.13,information_systems,0.294,marketing,0.294,14,3,Service Operations & Design,Institutional & Social Studies
4889,institutional change and stability dynamics,emotional expression and engagement in service interactions,0.597,25,13,management,0.52,organization,0.2,service,0.615,marketing,0.231,3,1,Institutional & Social Studies,Consumer Psychology & Decision Making
4890,service innovation,financial intermediation and market competition,0.597,75,16,service,0.373,economics,0.213,finance,0.5,organization,0.188,5,6,Innovation & Technology Management,"Finance, Governance & Regulation"
4891,service quality concepts and dimensions,privacy law and regulatory frameworks,0.597,29,20,service,0.448,operations,0.31,management,0.35,information_systems,0.3,14,6,Service Operations & Design,"Finance, Governance & Regulation"
4892,political economy and economics,human-robot interaction,0.597,60,26,economics,0.367,management,0.217,service,0.654,marketing,0.154,3,17,Institutional & Social Studies,AI & Human-Computer Interaction
4893,service quality measurement and evaluation,moderation effects and contextual moderators in organizational research,0.597,39,32,service,0.41,marketing,0.205,organization,0.219,management,0.156,14,2,Service Operations & Design,Organizational Behavior & HRM
4894,multilevel organizational research and analysis,"servicescapes and their design, management, and theory",0.597,45,14,organization,0.333,management,0.222,service,0.714,marketing,0.143,2,7,Organizational Behavior & HRM,Marketing & Customer Relationship Management
4895,employee attitudes and behavioral responses,transformative service research,0.597,102,17,organization,0.314,ethics,0.196,service,0.941,marketing,0.059,2,3,Organizational Behavior & HRM,Institutional & Social Studies
4896,robotics and automation engineering,new venture creation and development,0.597,17,28,service,0.412,economics,0.176,management,0.429,entrepreneurship,0.393,5,5,Innovation & Technology Management,Innovation & Technology Management
4897,welfare economics and social welfare analysis,ai applications in service delivery and systems,0.597,67,10,economics,0.358,operations,0.254,service,0.8,marketing,0.2,4,17,Platform Economics & Market Design,AI & Human-Computer Interaction
4898,attribution theory and its applications,"servicescapes and their design, management, and theory",0.597,52,14,marketing,0.519,service,0.154,service,0.714,marketing,0.143,1,7,Consumer Psychology & Decision Making,Marketing & Customer Relationship Management
4899,software engineering,robotics and automation engineering,0.597,72,17,information_systems,0.444,management,0.181,service,0.412,economics,0.176,12,5,IT & Digital Platform Management,Innovation & Technology Management
